t,RII_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs
0,0.0956986204914574,-0.00378689071904764,0.257828594843645
20,NaN,NaN,0.212283011264057
25,0.103734061492704,0.000750845671310514,NaN
40,NaN,NaN,0.243750425587041
45,0.102899949255207,NaN,NaN
50,NaN,-0.000302601716410909,NaN
65,NaN,NaN,0.200894457610148
70,0.130909727569957,NaN,NaN
75,NaN,0.0347010681341295,NaN
85,NaN,NaN,0.208044591042766
100,0.116770721392048,0.0324306808802753,0.26741283354524
150,0.121258232217882,0.0301748436634371,0.279431283698561
200,0.133408400489332,0.0288988016573834,0.293216338196224
250,0.154950092506041,0.0280372532436189,0.252282571634073
300,0.156549646473143,0.0289278782374491,0.259905991960679
350,0.176171982229028,0.0282552527946776,0.276321960208297
450,0.187991788397527,NaN,0.255490139780923
