t,RII_2_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.121436362122137,0.21214674622538,0.00221600946081761
8,NaN,NaN,-0.00131503717524078
15,NaN,NaN,0.00302837766925432
25,0.0949629179220025,0.210549638109627,0.00117150835105474
35,NaN,NaN,-0.00508716742986855
45,NaN,NaN,0.003356419088674
50,0.164059274551928,0.234344437593535,NaN
60,NaN,NaN,-0.0010394157976928
75,0.224420287386313,NaN,0.100572006489721
80,NaN,0.256376646705462,NaN
95,NaN,NaN,0.0988936893696905
100,0.232212570816781,0.255179260595635,0.101256851714654
150,0.297623616255697,0.2607570886198,NaN
200,0.378807133136172,0.221035246465425,NaN
250,NaN,0.230770057676827,NaN
300,0.450353408435928,0.184764525526397,NaN
350,0.46444484891837,0.14528142922896,NaN
450,0.560353269107912,0.154496135048931,NaN
