t,RII_2_Obs,RIIp_C_2_Obs,RII_C_2_Obs
0,0.127649509751158,0.0974291126039078,0.560519323801304
15,NaN,NaN,0.569960002352477
20,NaN,0.091262098573573,NaN
30,0.101780464629957,NaN,0.530332053623888
45,NaN,0.0975027668758522,0.573251045223719
60,0.11763150788352,NaN,NaN
65,NaN,0.035989777357897,0.491290562809906
85,NaN,NaN,0.533244560053573
90,0.0946240622633628,0.0267847002604396,NaN
100,NaN,0.038840026233413,0.573178744472046
150,0.0848134844872645,0.0276481068942874,0.557532538219532
200,0.0819515877626996,0.0296620129135313,0.517419366292612
250,0.0770970002664932,0.0273742412026598,0.533972111007791
300,NaN,0.0361205421916183,NaN
350,0.0916559166872159,0.0356056612695116,NaN
450,0.0873859355542909,0.0354182782496698,NaN
