t,RII_2_Obs,RIIp_C_2_Obs,Csub_Obs
0,0.0882703407734675,0.110663855985833,0.349278554638341
25,0.140614337462891,0.0946066301951803,0.323449604272115
45,NaN,NaN,0.278474591258998
50,NaN,0.0960518025168599,NaN
55,0.169914896122552,NaN,NaN
70,NaN,NaN,0.227766011389046
75,NaN,0.0519016243268664,NaN
85,0.152892198217218,NaN,NaN
95,NaN,NaN,0.239188839095793
100,0.123417359716774,0.0624628337768579,NaN
150,0.205809585604443,0.0581559666119086,0.152010881070543
200,0.193588661037769,0.0415676296964275,0.163874502988739
250,0.254722899843278,0.0382014525030877,0.143800750480439
300,NaN,NaN,0.121254131853193
350,0.278051947617598,NaN,0.106441961432462
450,0.339287752555706,NaN,0.0779750758033274
