t,pAC_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs
0,0.0315729579606996,0.000196137871356332,0.119510074482747
8.5,-0.0525955876655508,NaN,NaN
15,-0.00528045834282301,0.00111831756374857,0.115220716350929
25,0.129714688957695,NaN,NaN
30,NaN,0.00114944344261144,NaN
35,0.0408919353942026,NaN,0.0937317006355289
45,0.106578773956027,0.00103099677191958,NaN
50,NaN,NaN,0.0987404587328676
55,0.0167771332788602,NaN,NaN
65,NaN,0.00115790138070104,NaN
70,0.0476123526451489,NaN,0.0932387350550701
85,-0.287047279034148,0.00106725860019934,NaN
90,NaN,NaN,0.0719733224810674
100,0.0810078629566271,0.00122922577793423,0.0898529269941001
150,0.101613387678635,NaN,0.0943226675135419
200,0.130316423282931,NaN,0.0771159277164681
250,NaN,NaN,0.0886533386088897
