t,RII_2_Obs,AC_Fsk_Obs,RII_C_2_Obs
0,0.122200520442795,0.00418526188870908,0.609261673188169
9.5,NaN,-0.00346587434577871,NaN
15,NaN,NaN,0.55767099544784
20,0.115406164739849,0.00266081714929221,NaN
30,NaN,-0.0018181901161968,0.646381947277212
35,0.107500816829403,NaN,NaN
45,NaN,0.00210737656950792,0.53888249566378
55,0.0945256278116622,NaN,NaN
60,NaN,-0.00328601796075416,0.551011396067909
75,0.10121736828488,0.101358969177446,NaN
80,NaN,NaN,0.5354484874903
95,NaN,0.100318267994632,NaN
100,0.0965634777778269,0.102130682419624,0.573271682914515
150,0.120773373221609,NaN,0.581883810993888
200,0.0871558483880647,NaN,0.526881866758941
250,0.104119065211005,NaN,NaN
