t,pAC_Obs,RII_2_Obs,RIIp_C_2_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.184652982335301,0.103459423157136,0.107015889366672,0.22381401967644,-0.000925870392512517
3,NaN,NaN,NaN,NaN,0.248896400176153
6,NaN,NaN,NaN,NaN,0.29681248592948
9.5,NaN,NaN,NaN,NaN,0.274377862575924
10,NaN,NaN,0.0341454376980929,NaN,NaN
15,0.084791634338001,0.117088238074473,NaN,0.239071392189352,0.283038288763879
20,NaN,NaN,0.0403560380748994,NaN,0.264379485687025
25,0.0603629026443129,NaN,NaN,NaN,0.331066530249514
30,NaN,0.10154323113294,NaN,NaN,0.262249848080401
35,NaN,NaN,0.028527933782379,0.273735155711051,NaN
40,-0.022191393007059,NaN,NaN,NaN,NaN
45,NaN,NaN,0.0384624275585497,NaN,NaN
50,NaN,0.0955527338146333,NaN,NaN,NaN
55,-0.0813021243746338,NaN,NaN,0.270642866529392,NaN
60,NaN,NaN,0.0371703651574056,NaN,NaN
70,-0.146977570963221,0.0916209226632345,NaN,NaN,NaN
75,NaN,NaN,NaN,0.330188761402811,NaN
80,NaN,NaN,0.0314793300148353,NaN,NaN
90,0.0109328982522113,0.0989543518647804,NaN,NaN,NaN
95,NaN,NaN,NaN,0.289895428018423,NaN
100,-0.0693643336583511,0.0812224292401734,0.0270754219163391,0.284393927931238,NaN
150,-0.0281024536441245,0.100579691249839,NaN,0.311488395380304,NaN
200,-0.0956468695374613,0.0843044023572238,NaN,0.356831089320632,NaN
250,0.0500995398473195,0.0990546466303841,NaN,0.283074408157689,NaN
300,NaN,0.0918631899928587,NaN,0.285486968603193,NaN
