t,pAC_Obs,RII_2_Obs,RIIp_C_2_Obs
0,-0.0170142486818448,0.126809094977333,0.105413350143297
15,-0.0167470697430793,0.112278267969467,NaN
20,NaN,NaN,0.0967498431295143
30,0.127989227413734,0.100939434342285,NaN
45,NaN,NaN,0.105254757376642
50,-0.060514959716639,0.116227038024655,NaN
65,-0.0458280104583117,NaN,0.0906782347661356
70,NaN,0.0999283812236408,NaN
85,-0.000472439312190717,NaN,NaN
90,NaN,0.097889420727402,0.0773846088828413
100,0.00465589047549654,0.121795015749535,0.065207675183261
150,0.0573878494544696,0.116565945164341,0.0723957260203258
200,-0.0221389131648375,0.128919335662738,0.0741341584117402
250,0.00527119350881646,0.107598911259109,0.0729343749829124
300,-0.113948096403489,NaN,0.0877357126057038
350,0.0117888155178066,NaN,0.0818070175571622
450,-0.0500829262466928,NaN,0.0780065166850217
