t,RII_2_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.120808994488998,0.222141337815379,-0.0994335008586281
15,NaN,NaN,0.0655052791874779
25,0.103252550217885,0.240325726885753,NaN
30,NaN,NaN,-0.0883793993816863
45,NaN,0.22990840285289,NaN
50,0.182048311000484,NaN,0.0742211723422353
70,NaN,0.223884279459113,-0.1231423329476
80,0.218801989781461,NaN,NaN
90,NaN,NaN,0.0392282313468345
100,0.246827020131269,0.203023232557684,0.0313502654154192
150,0.258389033633637,0.21305682586064,0.094723266395101
200,0.355455410629305,0.203908625741226,0.02031553943859
250,0.379450338169899,0.173583068232595,0.0997611152408504
300,0.449286856502851,0.174996048755012,NaN
350,0.475626700980453,0.140893617360774,NaN
450,0.546208839732995,0.124142692597876,NaN
