t,RII_2_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs
0,0.122399218557995,7.49107426651775e-05,0.000574324968241742
9,NaN,0.00047480986899544,0.00633911700964763
10,0.121069486770984,NaN,NaN
20,0.106869053900513,0.000609130052691889,0.00514997579491247
30,NaN,0.000547439193730999,0.005549442709651
35,0.125780416631273,NaN,NaN
40,NaN,0.000466968537786499,0.00557669865050768
45,0.10030866474847,NaN,NaN
50,NaN,NaN,0.00661148502783256
55,NaN,0.000512392185264728,NaN
60,0.104247445353096,NaN,NaN
65,NaN,NaN,0.00503399658346939
70,NaN,0.000538762833096099,NaN
75,0.103665464598643,NaN,NaN
80,NaN,NaN,0.00538970028117205
90,0.11080824527533,NaN,NaN
100,0.104578377597179,NaN,NaN
150,0.116295594057203,NaN,NaN
