t,RII_2_Obs,RIIp_cAMP_C_2_Obs,RII_C_2_Obs
0,0.119339604127975,-0.00245029097676185,0.588962323859046
5.5,NaN,0.00456702998979093,NaN
10,NaN,0.0106020070053931,NaN
15,0.10717772818177,NaN,NaN
20,NaN,0.0707453902197642,0.513870885810065
25,NaN,0.0879279761146263,NaN
35,0.105234351187639,0.0753486947609215,0.534587199785676
40,NaN,0.0828148677314878,NaN
55,0.105740953287742,0.0726460275266335,NaN
60,NaN,NaN,0.447771168455997
65,NaN,0.0809424125266147,NaN
75,0.0964113885438344,NaN,NaN
80,NaN,NaN,0.585377322143314
95,0.085741939892176,NaN,NaN
100,0.077162443627954,NaN,0.522151778353256
150,0.0872551757735299,NaN,0.557077500427134
200,0.0928177989481333,NaN,0.554105929834421
250,0.0845880519868204,NaN,0.496790873338956
300,0.0877752775241205,NaN,NaN
