t,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs,AC_Fsk_Obs,Csub_Obs,RII_C_2_Obs
0,-6.97675708472174e-06,0.127030023774378,0.101338427611601,0.000537095263494533,0.259492782258048,-0.133010619013516,0.357081499883124,0.604931456437858
5,NaN,NaN,NaN,NaN,NaN,-0.164953234344234,NaN,NaN
7,NaN,NaN,0.0127273583082899,NaN,NaN,NaN,NaN,NaN
10,0.00128964128843345,NaN,NaN,4.153357673576e-05,NaN,-0.00579751362602456,NaN,NaN
15,NaN,0.100333793100855,0.00811777245131295,NaN,0.251242832798789,-0.0859453375399471,0.398494597004166,0.535538710800183
20,NaN,NaN,NaN,NaN,NaN,0.00388473480137256,NaN,NaN
25,0.00118253354677967,NaN,0.00937780264373701,2.95279085419491e-05,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,-0.0317877344002278,0.451984341244565,NaN
35,0.00106453566219691,0.087493943553911,0.00873087836381469,4.96803536523603e-05,0.247996591202673,0.0081702324550368,NaN,0.589595382887251
45,NaN,NaN,0.00692178520155305,NaN,NaN,-0.0459869484121779,NaN,NaN
50,0.00107686932677105,NaN,NaN,2.03184161866083e-05,NaN,NaN,0.41441157586629,0.415097231161482
55,NaN,0.103809932544372,NaN,NaN,0.304107267011426,0.0304004920260802,NaN,NaN
60,NaN,NaN,0.00700494909929515,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,0.078849267166872,0.386804225151448,NaN
70,0.00111750311475228,NaN,NaN,2.79681218888368e-05,NaN,NaN,NaN,0.500094135128723
75,NaN,0.0978820902571137,NaN,NaN,0.341219677023979,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.0186626183065433,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.462216442970693,NaN
90,0.000985699887800191,NaN,NaN,NaN,NaN,NaN,NaN,0.501550832038699
95,NaN,NaN,NaN,NaN,0.347272860941377,NaN,NaN,NaN
100,NaN,0.0752845143775738,NaN,NaN,0.24650795183753,NaN,0.459797018662017,0.45593642370891
150,NaN,0.0884538358908536,NaN,NaN,0.344802985541461,NaN,0.40785936548489,0.4427251471744
200,NaN,0.0952694216237988,NaN,NaN,0.35778867034174,NaN,0.423779620221594,0.540505348063589
250,NaN,0.0959131170520304,NaN,NaN,0.331635076334899,NaN,0.454024062268436,0.513375110739097
300,NaN,NaN,NaN,NaN,0.337811779913887,NaN,0.463414448955149,NaN
