t,RII_2_Obs,RIIp_cAMP_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs,AC_Fsk_Obs,Csub_Obs,RII_C_2_Obs
0,0.105400796023186,4.91588227586389e-05,0.0921533021201899,0.000574624495882239,0.201536602944241,0.0769110886048359,0.349849818352854,0.636366358351379
1.5,NaN,NaN,NaN,NaN,NaN,0.0574356248083864,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,0.24069756155867,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,-0.132886012282369,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,0.0594165504133275,NaN,NaN
7.5,NaN,4.45554095770694e-05,NaN,NaN,NaN,0.0614878657297329,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,-0.0734194215727685,NaN,NaN
10,0.105849917214884,NaN,0.105440155460442,0.000471458784791907,NaN,-0.00240840526447613,NaN,0.540461074035557
15,NaN,4.23133293314967e-05,NaN,NaN,0.237811157332106,-0.0679181246781713,0.333890030755754,NaN
20,0.0880722731339526,NaN,NaN,NaN,NaN,0.10331657402285,NaN,0.556935137285727
25,NaN,4.98118040268938e-05,0.114316171614421,0.000554611621039212,NaN,0.0539042573512966,0.337144726994378,NaN
30,NaN,NaN,NaN,NaN,0.2408355642037,-0.128895654386355,NaN,NaN
35,0.114516242225993,4.3850727408242e-05,0.0975012683008311,0.000597002049805818,NaN,-0.086712556120768,NaN,0.533742226145621
40,NaN,NaN,NaN,NaN,NaN,0.042513341755684,0.403457501158633,NaN
45,NaN,3.96112113833053e-05,NaN,NaN,0.217675751958176,0.0734218335694774,NaN,0.561072205516504
50,0.106462520728084,NaN,0.101758126426791,0.000424822040453065,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,0.10368093079146,NaN,NaN
60,NaN,4.4875994214872e-05,NaN,NaN,NaN,0.121179376873307,0.358634495657556,0.54989169316549
65,0.132229558730127,NaN,NaN,0.000492203595992488,0.225048743340773,NaN,NaN,NaN
70,NaN,NaN,0.0910796807219519,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.261606165993751,0.592722169746496
80,0.112896906849038,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.000547668414530575,0.251392593251554,NaN,NaN,NaN
90,NaN,NaN,0.0836156815940907,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,0.338165155592814,0.580209086587923
100,0.111790251926839,NaN,0.0872848734789443,0.000526032945969337,0.209894276942971,NaN,0.302569932796127,0.585026400747477
150,NaN,NaN,NaN,NaN,0.207226009574787,NaN,0.34571974520741,NaN
