t,pAC_Obs,RII_2_Obs,AC_Fsk_Obs
0,-0.0264706197771941,0.0975990304686219,0.0252952533267383
3.5,-0.108125475972242,NaN,NaN
7.5,0.204406113115973,NaN,NaN
10,-0.00859983824530389,NaN,NaN
15,-0.0677417068280313,0.112218714565224,0.277699792827604
20,-0.0118938778291376,NaN,NaN
25,0.158916049534718,NaN,NaN
30,-0.00322354865480892,0.103697487941761,0.287532130380376
35,-0.0800705403072371,NaN,NaN
40,NaN,NaN,0.300306547352565
45,-0.120525632963701,0.100429214561736,NaN
50,-0.0440889325491242,NaN,NaN
60,NaN,NaN,0.264361574059166
65,-0.144422950800161,0.106147416186901,NaN
75,NaN,NaN,0.257875864581651
85,NaN,0.0845903514102583,NaN
95,NaN,NaN,0.281373697324928
100,NaN,0.089080540788619,0.259457212679545
150,NaN,0.100778819349999,0.2438864821858
200,NaN,0.0765527313140066,0.269251004328858
250,NaN,0.10527444218137,0.272295787382385
