t,RII_2_Obs,Csub_Obs,RII_C_2_Obs
0,0.120136366536336,0.305390809205153,0.575138576923415
2,0.09930236541958,0.324505326710195,0.59287607874272
4,NaN,0.329371953662693,NaN
4.5,0.102152663132622,NaN,0.6345561440359
6.5,NaN,0.292200325911223,NaN
7,0.107267088695891,NaN,0.548165238425393
9,NaN,0.34111429761867,NaN
9.5,NaN,NaN,0.553467685369468
10,0.0902495334913322,0.383741087193661,0.47944346450363
15,0.091970360992523,0.350178829638809,0.469754086633428
20,0.0891437366566109,0.420954054504743,0.529662658189027
25,0.09103829038729,0.331476023819734,0.612803440504639
30,0.0958937758754455,0.376097153282628,0.578387049204605
40,0.0945252672418968,0.467062558023385,0.533601378886306
