t,Compound_1_Obs,Compound_2_Obs
0,2280875.02341038,62113197.7787106
3,NaN,152536016.938499
3.5,2126379.53004115,NaN
6,NaN,189076473.325137
7.5,2104347.54211628,NaN
9.5,NaN,180232205.325939
10,2089320.24299684,NaN
15,2118128.84295337,194841144.407116
20,1989384.0242628,226404783.375706
25,2062677.59429622,209323528.42885
30,1825338.89071517,230809734.414205
40,2084855.93331049,258335875.703319
45,2155184.49089082,264138744.926341
55,2149339.07838115,292177840.52777
65,2104225.42327901,306130992.856641
