t,Epo_EpoR_Obs,dEpo_e_Obs
0,0,0.97829367950301
25,277.120524869515,15.5204403291083
45,232.115975220116,NaN
55,NaN,89.0779429740771
70,226.156674342592,NaN
85,NaN,217.244944963486
95,222.42972487458,NaN
100,194.375990580854,242.646484458707
150,143.999009868142,480.95638528353
200,163.518343091683,623.737165698388
250,107.28610941343,967.657433602734
300,80.5643138853118,1069.78397773964
350,58.4734818363514,1515.35420034951
400,NaN,1233.47759234825
450,29.5737970727084,NaN
500,16.3274048621458,1609.39788169877
600,NaN,1577.53706313717
750,NaN,1546.66317008612
