t,epo_level,pEpoRpJAK2_Obs,STAT5_Obs,CISHRNA_Obs
11,0,0.0405320306108307,3.83435597601321,0.000583904797435713
11,0,0.0630279317273709,3.59590644416088,0.000615472515533323
11,4.2857e-08,0.0930540202770011,3.66573499234239,0.000572814511247071
11,4.2857e-08,0.18588361017758,3.60115233083737,0.000589578563275246
11,1.4286e-07,0.232144338813812,3.31829675765794,0.000561282824724667
11,1.4286e-07,0.476751888502253,3.45739206628424,0.000570099661673633
11,4.2857e-07,0.932457996968216,2.41990217756056,0.000587344893011223
11,4.2857e-07,1.09776352063864,2.21773123118363,0.000583011936135479
11,1.4286e-06,1.90388948948594,0.492840211188419,0.000594233781737813
11,1.4286e-06,1.91868717691037,0.312656251773992,0.000550708787597703
11,4.2857e-06,1.9671763024054,0.172433448611657,0.000675393778124647
11,4.2857e-06,2.0353611953962,0.0797670092159366,0.000657217343604698
11,1.4286e-05,2.23689628622725,0.120559717201839,0.000582420860202229
11,1.4286e-05,2.29852230402437,-0.0557791571050978,0.000553889897529314
11,4.2857e-05,2.25868013992013,0.0466873049907764,0.000571338983395277
11,4.2857e-05,2.30067738180695,0.103946330799753,0.000601132880538141
