t,pEpoRpJAK2_Obs,STAT5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.0369267190718298,42.034488659671,0.00239627312835221,-0.015860316931371,0.0366532558738124
10,1.03439294079753,2.17391094150339,NaN,0.0580442847839853,NaN
15,NaN,NaN,-0.000569208766208695,NaN,0.0288901994183765
20,0.637342566429732,NaN,NaN,NaN,NaN
25,NaN,1.30085152605802,NaN,0.228037907896963,NaN
30,0.478482429676677,NaN,0.0045003538728463,NaN,0.137088496816419
35,NaN,NaN,NaN,0.247153577210038,NaN
40,NaN,6.08746423621766,NaN,NaN,NaN
45,0.317255493248178,NaN,0.0575760512933185,NaN,0.230953655457926
50,NaN,13.0944040265537,NaN,0.248057737086628,NaN
55,0.242771954187866,NaN,NaN,NaN,NaN
65,NaN,17.3934220235058,0.110288489804411,0.229672550490064,0.239849353127287
70,0.190053953719179,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.187476527321095,NaN
85,NaN,22.9474753351553,0.150728814955569,NaN,0.191534320646185
90,0.212060392149845,NaN,NaN,NaN,NaN
100,0.163299811564681,24.7597094480785,0.15020975552585,0.10583206982565,0.172137643887944
150,0.251217134707201,30.658048772143,0.0871497881958758,0.0884781979584041,0.0854254672139821
200,NaN,30.4516311476506,0.056085488338657,0.0798718184983253,0.0854814878375613
250,NaN,30.0836603752809,0.0678735283130689,NaN,0.0889190315286897
300,NaN,33.6468825635683,0.0554875742563398,NaN,0.0815196240688665
