t,pEpoRpJAK2_Obs,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,-0.0180424479912965,42.0716020721548,0.000492576165245719,-0.00256277210230165,-0.00138869114532691,0.0201786796216873,0.0227023175777857
25,0.540554953055612,3.36947864450989,NaN,NaN,NaN,0.214338348270823,NaN
30,NaN,NaN,NaN,0.016557176676895,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,0.0167339414791654,NaN,0.166385704850929
45,NaN,10.5727566007613,0.0702379205058791,NaN,NaN,NaN,NaN
55,0.242282419136759,NaN,NaN,NaN,NaN,0.238681867271144,NaN
65,NaN,NaN,NaN,0.0724071873789054,NaN,NaN,NaN
70,NaN,19.3314194079375,NaN,NaN,NaN,NaN,0.211613627484112
75,NaN,NaN,NaN,NaN,0.136925258506521,NaN,NaN
85,0.138681038953587,NaN,NaN,NaN,NaN,0.163355233558197,NaN
90,NaN,NaN,0.0499476329944538,NaN,NaN,NaN,NaN
100,0.178407391239009,25.6767114595862,NaN,0.0572652381933027,0.153885093369069,0.127556435362112,0.162903597365283
150,0.229715399685453,30.0512840607999,0.0220562330079254,0.0221899655220308,0.0908003738811968,0.0871820217950055,0.0858897594176991
200,0.219220741761254,30.8786725392729,0.0278674150493206,0.025866146737224,0.0646102529420949,0.0840003856114197,0.0745014457666397
250,0.20104083152826,33.3230792398342,0.0279110214520455,0.0225672878109926,NaN,0.0780651909472432,0.106251216145187
300,NaN,34.2063555133249,NaN,0.0272855612954383,0.0660751936133739,0.0842746341779592,0.0879569313691848
350,NaN,NaN,0.0226024147803059,NaN,0.0736727443711559,0.0981674644834901,NaN
400,NaN,29.3034717235602,NaN,0.0237324148986442,NaN,NaN,0.0794867646169743
450,NaN,NaN,0.0201301108897635,NaN,0.0608914415004964,0.104236087592931,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,0.0780836942501481
550,NaN,NaN,0.0229062095381493,NaN,0.0586680645810195,NaN,NaN
650,NaN,NaN,0.02269281017395,NaN,NaN,NaN,NaN
