t,pEpoRpJAK2_Obs,STAT5_Obs,CISHRNA_Obs
0,-0.0105765278340432,44.0809466084489,-0.00784744215416566
5,2.92034902621736,NaN,NaN
6.5,NaN,0.741554770137362,NaN
10,2.04195869583312,NaN,0.00110830862065893
15,1.56414270834182,0.12218069365975,NaN
20,1.3708789212225,2.37897430829225,0.0113177454918361
25,1.06561178725581,NaN,NaN
30,NaN,2.2283469958107,0.00897154354854891
35,0.867885925377234,4.65814404720108,NaN
40,0.697436996302044,NaN,NaN
45,NaN,5.52138231493847,0.067005337781403
50,0.387253844904888,NaN,NaN
55,NaN,10.6451104890446,0.0929126115306727
65,0.394439644389438,NaN,NaN
70,NaN,14.4343463366135,0.135571711117809
75,0.409943769937633,NaN,NaN
80,NaN,17.0558266729187,NaN
85,NaN,NaN,0.157960200989611
90,0.187821983554539,NaN,NaN
100,NaN,23.8241061446332,0.156464299436175
150,NaN,24.9608439799308,0.108868398453523
200,NaN,NaN,0.0971107064035281
