t,epo_level,CISHnRNA3_Obs
15,2.5e-09,-1.44858470338554e-05
15,2.5e-09,0.000255545702725883
15,2.5e-09,0.000328261219509076
15,7.905e-09,-6.84343162526403e-05
15,7.905e-09,0.00088547712126324
15,7.905e-09,0.00112452935674651
15,1.25e-08,0.00119049644418326
15,1.75e-08,0.00169283562859399
15,2.5e-08,0.0020496228590983
15,3.95e-08,0.00308858162734455
15,3.95e-08,0.00347382291983602
15,3.95e-08,0.00379476888200742
15,7.9e-08,0.00569855039181623
15,7.9e-08,0.00593409812161561
15,7.9e-08,0.00658552120233007
15,1.25e-07,0.00846882559232588
15,1.7675e-07,0.00972503937277564
15,2.5e-07,0.0102268926928925
15,2.5e-07,0.010547401830563
15,2.5e-07,0.0108464498998274
15,7.905e-07,0.0125242050625509
15,7.905e-07,0.0125695851035874
15,7.905e-07,0.0128784728982827
15,2.5e-06,0.0129180788715393
15,2.5e-06,0.0131059965206917
15,2.5e-06,0.014063158507399
