t,epo_level,CISHnRNA5_Obs
37,6.6667e-07,0.000186738493073749
37,6.6667e-07,0.000189848234306523
37,1.3333e-06,0.000177734313080074
37,1.3333e-06,0.000191980355806879
37,2.6667e-06,0.000207212548709266
37,2.6667e-06,0.000247635624267333
37,5.3333e-06,0.00022659462640796
37,5.3333e-06,0.000228144145950857
37,1.0667e-05,0.000204682143335108
37,1.0667e-05,0.000215708840910609
37,2.1333e-05,0.000205703291836555
37,2.1333e-05,0.000210319440446093
37,4.2667e-05,0.000210123345688244
37,4.2667e-05,0.000227902224775464
