t,pEpoRpJAK2_Obs,STAT5_Obs,CISHRNA_Obs
0,0.0150187643758879,3.98735805309754,0.000616395043862462
15,0.180400779458541,3.15775104545467,NaN
25,NaN,NaN,0.000603691443947336
30,0.135527346320182,3.1114255466363,NaN
45,0.11355039668268,3.12073324306886,NaN
50,NaN,NaN,0.00064543302089489
65,0.0858090130691948,3.29820623132042,NaN
75,NaN,NaN,0.000650590149830707
80,0.0831221252069172,3.39449296098389,NaN
100,0.0822309360055569,3.23413176736791,0.000722510487589444
150,0.0737888376900109,3.42001704538989,0.000711123727924001
200,0.0667616645732087,3.35120583677459,0.000667395853440206
250,0.0551544140828028,3.63811611731426,0.000622768548196059
300,0.0564660913854684,3.64379636125751,0.000656764549532426
