t,pEpoRpJAK2_Obs,STAT5_Obs,nSTAT5_Obs,EpoRpJAK2_Obs
0,-0.0405583340034618,44.4322002284685,1.24770847575212,0.00702448489383824
10,1.09090300747775,NaN,NaN,NaN
20,0.693182892998502,3.31512562667759,6.21459979875716,0.219977029066
35,0.532058631940635,4.12933909377881,10.0194481825919,0.21007390369301
45,0.468071044356371,NaN,NaN,NaN
55,NaN,9.89901238504786,12.688327835083,0.195487735540922
60,0.560232533712522,NaN,NaN,NaN
75,NaN,8.04404148400115,11.0123501589837,0.194081603186649
80,0.590082650400631,NaN,NaN,NaN
95,NaN,7.50261104120493,12.5411035244147,NaN
100,0.512165946773501,8.24048287151916,13.3798142232089,0.190401373570699
150,0.39254735589142,9.78249778508354,11.3130724738767,0.20601699861254
200,NaN,10.4349357199342,10.444054037844,0.189610278464014
250,NaN,12.803514394792,11.0234156991667,0.19284727192352
300,NaN,14.213533087769,10.2547354692669,0.183677397029692
350,NaN,13.2252414387596,9.40500675166708,0.16844499889232
400,NaN,NaN,10.4295364329638,NaN
450,NaN,14.4340659655207,NaN,0.182932109075591
