t,input_il6,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
14,0.1,0.337085695505301,0.000811656096950405,0.0594821843471982
14,0.1,0.30682317670535,0.000803185758069852,0.0221695090156011
14,1,0.292682758138297,0.000878656615767286,0.0348391495780236
14,1,0.24097375239061,0.000541033122235282,0.0338796705389004
14,5,0.287814408814558,0.00148521940480523,0.0333970779616372
14,5,0.364413651470373,0.00196558782129769,0.0390854697826544
14,10,0.182703412405324,0.0189245322755986,0.0441163492001799
14,10,0.30944360024713,0.0179876986536374,0.0706888819979867
14,50,0.265628793735868,0.00117291308263782,0.0497958965075758
14,50,0.259653088870267,0.0015700772448386,0.0245681157882716
14,100,0.421123526823035,0.00788144447377311,0.0552839012730711
14,100,0.416046613956767,0.00710064848600979,0.0436108718159627
14,500,0.194087891073211,0.079467339020543,1.09345758783784
14,500,0.123656141731721,0.0573080197074193,0.51117142556894
