t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
0,0.329467255190516,0.00100451761609805,0.0982639710299277
8.5,NaN,NaN,0.107697163823753
10,NaN,0.0525154012708001,NaN
15,0.217838178261353,NaN,1.13719258773464
20,NaN,0.0816560243580791,NaN
25,NaN,NaN,22.5734877229662
35,0.00152896695633438,0.000231901372022475,84.3976303187108
45,NaN,8.41967082327397e-05,NaN
50,0.00147424298804878,NaN,50.7935206496413
60,NaN,0.000252773350634468,29.8604308231029
70,0.016272876116225,NaN,NaN
80,NaN,0.00344996342123996,2.07772771495578
95,0.0236829444120012,NaN,NaN
100,0.0482316211078378,0.0126874565011922,0.196396277291944
150,0.0458379498947362,0.0115947653329884,NaN
200,0.0711817707339949,NaN,NaN
250,0.025194338041668,NaN,NaN
300,0.033212456814325,NaN,NaN
