t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.451976064245987,0.000148949833486682,0.00114821727761551,0.000829643260899503,0.180394508335741
7.5,NaN,NaN,NaN,0.00217204861491777,NaN
8,NaN,NaN,0.0394347769889036,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.149122516841364
10,NaN,0.0156575344263277,NaN,NaN,NaN
15,NaN,NaN,0.0772238734915756,0.043608815846102,NaN
20,0.0576051671274732,NaN,NaN,NaN,53.9701677371442
25,NaN,7.76274408289528e-06,0.000176795107347201,0.543327229724832,109.527322511973
30,NaN,NaN,NaN,0.861755677377722,NaN
35,NaN,NaN,9.11962147263565e-05,NaN,NaN
40,0.000308913519631912,1.56124574576827e-08,NaN,0.945478890215303,250.931510434024
45,NaN,NaN,0.000151009271020815,NaN,NaN
50,NaN,NaN,NaN,0.402195203858321,154.110931985263
55,NaN,1.04786355058924e-07,NaN,NaN,NaN
60,NaN,NaN,8.03816889700579e-05,NaN,NaN
65,0.00297892088636873,NaN,NaN,0.0323421412471962,25.0792747285663
75,NaN,4.38119189987018e-06,0.000135767460523453,NaN,NaN
80,NaN,NaN,NaN,0.0087166164680077,5.01396658850509
90,0.0318641748531248,NaN,0.000167719964215837,NaN,NaN
95,NaN,1.03294167932293e-05,NaN,0.00243340982721523,NaN
100,0.0394297529756709,1.49442521664259e-05,0.000216215020051438,NaN,0.284189485271918
150,0.121511493929394,5.93727769704527e-05,NaN,NaN,NaN
200,0.12371589873979,NaN,NaN,NaN,NaN
250,0.25601542968841,NaN,NaN,NaN,NaN
300,0.170181688485739,NaN,NaN,NaN,NaN
350,0.274702044455228,NaN,NaN,NaN,NaN
450,0.308326057599787,NaN,NaN,NaN,NaN
