t,input_stattic,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
0,0,0.243665543886785,0.000903045685605721,0.0599987303139107
0,0,0.398054913439931,0.00131382386469206,0.0328497311990164
0,1,0.262814756991197,0.000778821768072742,0.0467637736963779
0,1,0.268704149763736,0.00158917234779778,0.0342473484593333
0,1,0.310539342965152,0.000787417963903656,0.0450711848543928
0,1,0.330034531178937,0.00143835299743104,0.0250266563719446
0,5,0.303653090977542,0.00147494754404157,0.0410756826490584
0,5,0.372781340202204,0.00103012559786432,0.0448390946139365
0,10,0.237332219755222,0.000953894038902839,0.0677313514712676
0,10,0.350379946734589,0.0013081640601159,0.038032857484613
0,20,0.411365574955596,0.000952461971083505,0.0380880253631963
0,20,0.495657534495852,0.000724437735696762,0.0445104341192922
0,50,0.270210044464096,0.00103492763136864,0.0339710209247674
0,50,0.386845066233739,0.00113953066686094,0.0236021053267116
