t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs
520,0.1,3.03270143919276e-05,3.46387878447796e-05
520,0.1,3.45350431956721e-05,3.11510795222245e-05
520,0.5,0.000296299419050076,0.000493341574078533
520,0.5,0.000460285540075505,0.000388260116557736
520,1,0.00174569035556376,0.0012790686789178
520,1,0.00188877155490329,0.00146185891698538
520,2.5,0.00769361932328456,0.00768740912713466
520,2.5,0.0099789287166028,0.013646308506192
520,5,0.0178575077382786,0.0181608162964888
520,5,0.0238921290527989,0.0151877723977093
520,10,0.0356718438115804,0.0334805992910898
520,10,0.0440233353412857,0.0227185797570341
520,25,0.041562090875016,0.0533672690099702
520,25,0.0786041232557542,0.0581739026556723
520,50,0.0866118449584888,0.0655355233424957
520,50,0.115701102274441,0.0569869708325872
520,100,0.251922068016643,0.216876288981758
520,100,0.270686620299395,0.326294423354705
520,500,1.90701591304075,1.51731888954759
520,500,1.97810535098585,1.4450697647756
