t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.161295115705124,0.000144801509275909,0.00168341018625646,0.00114465419591714,0.939558901589347
3.5,NaN,NaN,NaN,NaN,1.14401648060577
7,NaN,NaN,NaN,0.00116246355030552,NaN
7.5,NaN,NaN,NaN,NaN,1.2550465850955
10,NaN,NaN,0.0909110301417307,NaN,1.26739432043925
15,0.237003109692845,0.0112473819696612,NaN,0.0778390624072634,9.40547897844447
20,NaN,NaN,NaN,0.46666509672646,104.803238785223
25,0.000859493726536134,NaN,0.000106192308154031,NaN,240.72250478685
30,NaN,1.61403562619919e-08,NaN,1.28792671524919,478.727278552094
40,0.00026646839784427,NaN,5.91972479352032e-05,0.658418279659655,370.343425446277
45,NaN,3.1692827237377e-08,NaN,NaN,NaN
50,NaN,NaN,7.66879526320199e-05,0.537174023081094,210.63533907624
55,0.00126140502697711,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,0.148687953413014,86.0105541680321
65,NaN,3.06592284016211e-07,NaN,NaN,NaN
70,NaN,NaN,0.000129908144966847,NaN,32.3678713575374
75,0.00554640935846487,NaN,NaN,0.0104558542154379,NaN
85,NaN,NaN,7.59322075463531e-05,NaN,NaN
90,0.0381905389465468,9.87177793815428e-06,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00206147905577935,NaN
100,0.0393257053489229,1.75340092070365e-05,0.000180260205309333,0.000841474775948729,NaN
150,0.143823212723766,4.62622419719551e-05,0.000297839052214338,NaN,NaN
200,0.193062942064687,NaN,NaN,NaN,NaN
250,0.210415362581135,NaN,NaN,NaN,NaN
300,0.207973817156443,NaN,NaN,NaN,NaN
