t,input_il6,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
23,0.1,0.365087329891726,0.00135664352568208,1.08156812174681
23,0.1,0.402025181366317,0.00145162825045503,1.1846293359613
23,0.1,0.36089116391469,0.0012790170744741,1.1662690771818
23,0.1,0.22398647061765,0.00130370826350029,1.64606844231164
23,1,0.430947009661509,0.00418286119496529,0.986420039718719
23,1,0.292282553624948,0.00721940795948119,1.15140312580401
23,1,0.511786236715899,0.0030220467513575,1.06563851364954
23,1,0.396050719098359,0.00443552948421632,1.37023789574703
23,5,0.30907781329123,0.0239871840443825,14.1229348503452
23,5,0.201765731943557,0.0315426294753871,11.8576826405888
23,5,0.250739637914254,0.017567911611118,6.89220148393102
23,5,0.198064231587067,0.0147637403194657,6.58083153025357
23,10,0.000400208318821779,1.74885590927685e-05,313.293014604773
23,10,0.000281239527486066,1.24143567636439e-05,198.429756530679
23,10,0.000610296811027847,1.44153760898842e-05,178.817089690937
23,10,0.000726134561865538,7.15647100775622e-06,380.284554906681
23,50,0.456062213265681,0.0172735630483837,2.30238061405822
23,50,0.245257326420009,0.0131908069325366,2.01034623179036
23,50,0.219767732319503,0.0190077429290267,3.45380846066964
23,50,0.184992671229458,0.0210857210307848,2.51534026527358
23,100,0.00213816614616781,0.000188633400213801,170.671467947775
23,100,0.00221601636156085,0.000159553031172294,135.03204794993
23,100,0.0011584463312252,0.000174095928583397,178.524869476446
23,100,0.00127406008545049,0.000220319535305298,106.181393926619
23,500,0.000163916552058161,1.13240441043175e-05,306.476761711284
23,500,0.000172463442106581,8.51572608656844e-06,567.403543502808
23,500,0.000229999958808786,1.10652915462459e-05,631.281862641866
23,500,0.000139227076190497,1.26989788397181e-05,877.67017039773
