t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.48869032006962,9.86364595384128e-05,0.00115639333970153,15.6773759145082,0.00102762996432632,0.166851214192026
8.5,NaN,NaN,NaN,9.52702736226792,NaN,NaN
10,NaN,NaN,0.05727990205237,NaN,0.00487653310032753,NaN
15,NaN,0.00946339103836968,NaN,7.86960284534007,NaN,7.53128489365388
20,NaN,NaN,0.0144375937077959,NaN,0.241089462406809,NaN
25,0.00129478803469647,2.62482324394949e-07,NaN,20.7532726643412,NaN,NaN
30,NaN,NaN,NaN,NaN,0.621682370716961,165.340639958672
35,NaN,NaN,7.79399819327983e-06,14.6021877220757,NaN,NaN
40,NaN,2.94665802147195e-08,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.481317477907349,214.516697007101
50,0.000690375082043188,NaN,1.11607447046961e-05,20.2477634358914,NaN,NaN
60,NaN,3.52110057962951e-07,NaN,13.6617420186099,0.0747551422606145,NaN
65,NaN,NaN,1.36273910832728e-05,NaN,NaN,47.3470431740829
75,0.00430679511439168,3.59172273610839e-06,NaN,15.4953381519179,0.0110085651621778,NaN
80,NaN,NaN,NaN,NaN,NaN,6.17199241704925
85,NaN,NaN,4.95189411866213e-05,NaN,NaN,NaN
95,NaN,NaN,NaN,19.9905182983805,0.00138924899990441,NaN
100,0.0552832637510878,1.9539259071808e-05,0.000132781657773364,9.19908918676104,0.00111184627080053,0.29023270638331
150,0.147120696394127,6.633376130977e-05,0.000415876213205744,NaN,NaN,0.108538791396429
200,0.241499859433869,NaN,NaN,NaN,NaN,0.134851525445025
250,0.183887271262408,NaN,NaN,NaN,NaN,0.108385544461615
300,0.258328174084639,NaN,NaN,NaN,NaN,0.055229820419361
350,0.167832523431252,NaN,NaN,NaN,NaN,0.181830639967284
450,0.368952047760917,NaN,NaN,NaN,NaN,NaN
