t,input_ruxolitinib,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
17,0,0.570486447783693,0.00128831773354176,0.0356515907749463
17,10,0.308278078429507,0.00123193126663265,0.0470761229222124
17,50,0.27584506166162,0.00050480677752351,0.0483101099531296
17,100,0.3302691296404,0.000747635440771683,0.0481004269047038
17,200,0.238983242833978,0.000716537517938137,0.0705229380324076
17,200,0.369134529101609,0.000550849644295972,0.0476887066314121
17,400,0.261157036182385,0.00038274990813608,0.0438622183157115
17,500,0.238763973698598,0.000442213379106857,0.0379480805761127
17,600,0.314066962365949,0.000462916017320182,0.0357607229712682
17,600,0.506424223466017,0.000630996524942109,0.0428199777224185
17,800,0.26905704847063,0.000518334643587618,0.0446220556690479
17,1000,0.334313008902571,0.000640692526680467,0.0606405506537933
17,1000,0.3479431532336,0.000630856310800505,0.0301604350157229
17,2000,0.34887349776063,0.00037673106304651,0.0431554930473755
17,2000,0.420287107629593,0.000832790340968737,0.0400951422927285
17,5000,0.257859909190356,0.000445594937848976,0.0323529366997055
17,5000,0.347677361096519,0.000409354923697527,0.0296960036819631
