t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.227410686052498,0.000149963413473369,0.00243348721346031,0.00153056656990988,1.43407410193298
9.5,NaN,NaN,NaN,0.000965175202375366,1.35804997204696
10,NaN,NaN,0.117136560708044,NaN,NaN
15,NaN,0.0245788817781406,NaN,NaN,NaN
20,NaN,NaN,NaN,0.00113778704446338,0.945691663164813
25,0.1466279698664,0.0166554827240726,0.150868747241009,NaN,NaN
30,NaN,NaN,NaN,0.00110660331982413,0.790768311435148
40,NaN,0.00737642015679466,0.0491117358333625,0.277849195171531,25.143278059622
45,0.000856328671264225,NaN,NaN,NaN,NaN
55,NaN,1.14897826143736e-06,9.00773201717792e-05,2.7610296263321,807.032065163892
70,0.000455214357711577,3.02942084663655e-06,NaN,1.08258212179972,415.222738350866
75,NaN,NaN,5.22914143743907e-05,NaN,NaN
85,NaN,NaN,NaN,0.163722460519585,NaN
90,NaN,NaN,NaN,NaN,60.14110633086
95,NaN,0.000142499037225275,0.00032094462698019,NaN,NaN
100,0.00948887796196007,0.000463003216181779,0.00067605287892967,0.0211565524222493,15.594201058762
150,0.00985782597327365,0.000970539021950862,0.00708779373591461,0.0692740793581905,21.9157602839762
200,0.0292414198945677,0.00196169831164678,NaN,NaN,NaN
250,0.00635308558685859,NaN,NaN,NaN,NaN
300,0.0135176343758385,NaN,NaN,NaN,NaN
350,0.0159238493915704,NaN,NaN,NaN,NaN
450,0.0254317731407345,NaN,NaN,NaN,NaN
