t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.238889345897951,0.000116574038826751,0.00165141702382512,0.000699156485466395,1.58292413744197
3,NaN,NaN,NaN,NaN,0.933238745800235
5,NaN,NaN,NaN,0.000745182673799904,NaN
6.5,NaN,NaN,NaN,NaN,0.999827583421791
10,NaN,NaN,NaN,0.00895684660070083,2.6437384162698
15,NaN,0.00204229586459121,0.061398451453055,0.230841809570455,19.9806258792524
20,NaN,NaN,NaN,0.627022752403612,132.177115885096
25,0.000506978668896143,NaN,NaN,1.25897140285678,337.470106122077
30,NaN,5.94265682126434e-09,1.24300543893389e-05,NaN,401.84445418985
35,NaN,NaN,NaN,2.13091692906415,NaN
40,NaN,NaN,NaN,0.441873025441767,372.116401736075
45,0.000396547160993822,NaN,8.05902934301491e-06,NaN,310.276937074645
50,NaN,3.01179702177054e-08,NaN,0.43759110265347,NaN
55,NaN,NaN,NaN,NaN,165.005174146281
60,NaN,NaN,1.26874559426454e-05,0.180859307642676,NaN
65,NaN,NaN,NaN,NaN,50.5058096023002
70,0.00396894138286117,7.2179398915173e-07,NaN,0.0453989192153685,NaN
80,NaN,NaN,2.78286958128746e-05,NaN,NaN
85,NaN,NaN,NaN,0.00480854305067337,NaN
95,NaN,1.45803898729975e-05,NaN,NaN,NaN
100,0.076780507425331,9.93494462782219e-06,3.07688050302026e-05,NaN,NaN
150,0.138184887212086,5.83087620033393e-05,0.000456349978154816,NaN,NaN
200,0.179399350800714,7.15126889334178e-05,NaN,NaN,NaN
250,0.225613205099228,NaN,NaN,NaN,NaN
300,0.208473382081388,NaN,NaN,NaN,NaN
350,0.359841342793539,NaN,NaN,NaN,NaN
450,0.238368278626363,NaN,NaN,NaN,NaN
