t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs
1700,0.1,0.000603811232447006,0.000608997754850261
1700,0.1,0.00041186850126673,0.000493169508003102
1700,0.5,0.00461605342370868,0.00409220952098189
1700,0.5,0.00280224779772601,0.00504277619750323
1700,1,0.007260467802611,0.015615774248335
1700,1,0.0114874409337259,0.00933434385465313
1700,2.5,0.0711081122385983,0.0682561208211115
1700,2.5,0.049257119106695,0.0744352220021201
1700,5,0.675094926491296,0.268017882031465
1700,5,0.670061939530952,0.485603059731507
1700,10,0.0263515408917958,0.0232126286422557
1700,10,0.0260659874948354,0.0236737844948297
1700,25,0.153538827920586,0.099181511640056
1700,25,0.1058600357169,0.106645818922188
1700,50,0.0751425202456383,0.0395684504260984
1700,50,0.0574869722862365,0.0425228270194731
1700,100,0.0616116900022867,0.140906311344267
1700,100,0.0782251122522092,0.133982088289207
1700,500,0.0407096173769474,0.0722097076419111
1700,500,0.0321442439455389,0.092830357238621
