t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
0,0.221946443961026,0.000749418612463764,0.0552273541277421
8,0.346635747327867,NaN,NaN
15,0.276040685403342,NaN,0.0724967302583841
20,NaN,0.00300441425712255,NaN
25,0.399085392746051,NaN,NaN
30,NaN,NaN,0.0893595785234172
35,0.292371513561732,NaN,NaN
40,NaN,0.00193355734432277,NaN
45,0.481047775682922,NaN,0.321695859973161
55,0.380916444993581,NaN,NaN
60,NaN,0.00240748608574642,0.667342791474697
65,0.299986087577667,NaN,NaN
75,NaN,NaN,0.767683479517916
80,0.310825584936936,NaN,NaN
85,NaN,0.00296586827375802,NaN
95,0.250653807472959,NaN,0.473733280099393
100,0.160478754696387,0.0033779535266883,0.37386258093448
150,0.204004004347276,0.00228703869214807,0.349601105411749
200,NaN,0.00179921560970211,0.271281219929079
250,NaN,0.00320347791916608,NaN
300,NaN,0.00220729790535499,NaN
