t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.39917932218811,9.01098347259191e-05,0.00116397959854424,0.00323583425748717,0.000132916070906226,0.0408443431194902
9.5,NaN,NaN,NaN,NaN,NaN,0.0517740524612211
10,NaN,NaN,0.00958748629683941,0.258169916167543,0.000234569224557244,NaN
15,0.252803514177543,0.00312519012440729,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,2.10697468775244,0.00403437948683436,0.59488061804911
25,NaN,NaN,0.0119674889985145,NaN,NaN,NaN
30,0.182539820677612,NaN,NaN,NaN,NaN,16.1096459511542
35,NaN,0.000661367161505024,NaN,0.560458848892091,0.0803110975056072,NaN
40,NaN,NaN,0.00201111978947816,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0356313114717194,0.035251430577312,25.0541501223889
50,0.0065655347672919,NaN,NaN,NaN,NaN,NaN
55,NaN,7.25200340989039e-05,0.00010007395835442,NaN,NaN,16.6400797183092
60,NaN,NaN,NaN,0.000965990947995282,0.0177249762562331,NaN
65,0.0120651581089686,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,0.000357610882956643,NaN,NaN,3.23927828642028
75,NaN,0.000181315774049793,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,6.46234936902017e-05,0.00151384882754771,NaN
90,0.0565866985169272,NaN,0.00188804868142152,NaN,NaN,0.210647025695539
100,0.0635200645988134,0.000439287085406822,0.00269945022613257,0.0234536566784284,0.000149757882087111,0.0931332886649606
150,0.0666900592431467,0.00121241451886476,0.00516629861559246,0.0600465873437878,0.00332405234458871,2.31959240491577
200,0.128085753330164,NaN,NaN,NaN,NaN,NaN
