t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.524891486460834,9.33549913724373e-05,0.000770947914751838,0.000766364517258573,0.274525343830989
8.5,NaN,NaN,NaN,0.00160257368182425,NaN
10,NaN,NaN,0.0585845533555535,NaN,NaN
15,NaN,0.00360362151063005,NaN,0.0340232918672649,NaN
20,NaN,NaN,NaN,NaN,34.4121253843973
25,0.000756677773647125,1.40066596557455e-07,3.68401440961689e-05,0.401935282522488,NaN
35,NaN,NaN,1.35968384652382e-05,0.736720798975895,NaN
40,NaN,2.13154007176588e-08,NaN,NaN,314.363010677234
50,0.00105558034852397,NaN,1.03748784303994e-05,0.293636567216897,NaN
60,NaN,3.76396070686464e-07,NaN,0.065873408039755,48.688279124023
65,NaN,NaN,1.19284923079953e-05,NaN,NaN
75,0.00792192964572171,3.82853397348152e-06,NaN,0.00604145133927432,NaN
85,NaN,NaN,2.32610873061921e-05,NaN,1.91444334286449
95,NaN,NaN,NaN,0.00170952944618285,NaN
100,0.0396611112449161,2.05027275632187e-05,8.86876971020231e-05,0.000836468025243676,0.200378439414601
150,0.116476798461135,6.57684404780788e-05,0.000338949587040882,NaN,0.0801089152795432
200,0.189502002250152,NaN,NaN,NaN,0.0758768389554712
250,0.237951955545736,NaN,NaN,NaN,0.177707293502824
300,0.221755001392962,NaN,NaN,NaN,0.219208051251629
350,0.247771733892309,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,0.147481722931657
450,0.176181663490919,NaN,NaN,NaN,NaN
