t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.305311478838201,9.1682108879908e-05,0.00126534454560125,0.000742042273225257,0.633415741594484
4,NaN,NaN,NaN,NaN,1.17018118582034
4.5,NaN,NaN,NaN,0.00158401886748435,NaN
8,NaN,NaN,NaN,NaN,1.25152739309113
9.5,NaN,NaN,NaN,0.00695351028415337,NaN
10,NaN,0.00584721632573459,0.0824596263192647,NaN,1.24967398814743
15,NaN,NaN,NaN,0.151860621514931,29.6575792502749
20,0.00531737501304541,NaN,0.000599657407288044,0.448406476834291,117.004686458078
25,NaN,3.49050929085684e-08,NaN,0.91050864301445,179.193403523661
35,NaN,NaN,8.68933794791257e-06,1.66616676879328,334.649204499636
40,0.000690949122416922,1.48893028863497e-08,NaN,0.795087299213751,599.147991083574
50,NaN,NaN,8.99476633099279e-06,0.239650203847991,165.493416993045
55,NaN,9.01753474032809e-08,NaN,NaN,NaN
60,NaN,NaN,NaN,0.0708364367398919,79.0867412360768
65,0.00347767078451433,NaN,9.38789880030468e-06,NaN,NaN
75,NaN,4.00348725097822e-06,NaN,0.00979811944465222,10.2134571163695
85,0.025806987722453,NaN,3.40478198123087e-05,NaN,NaN
95,NaN,1.45067948580657e-05,NaN,NaN,NaN
100,0.0377230349175517,2.16174784984932e-05,8.52681625683771e-05,NaN,NaN
150,0.0773879585672809,3.81877033815375e-05,0.000286203592026405,NaN,NaN
200,0.281990975100348,NaN,NaN,NaN,NaN
250,0.209201371112045,NaN,NaN,NaN,NaN
300,0.332416980938846,NaN,NaN,NaN,NaN
350,0.362443672339089,NaN,NaN,NaN,NaN
