t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.388298978488233,0.000241377789410718,0.00110183463705554,0.00100556653373482,0.147914179755203
9,NaN,NaN,NaN,NaN,0.298526849702233
9.5,NaN,NaN,NaN,0.00314365233887153,NaN
15,NaN,0.000160156968518503,0.0222410062746093,NaN,NaN
20,0.0853853966706429,NaN,NaN,0.156077348715361,24.4870515135291
25,NaN,6.00126692248451e-07,NaN,NaN,NaN
30,NaN,NaN,6.21742954240933e-06,0.539566264828531,145.614070715754
40,NaN,1.13276454525708e-07,NaN,0.543025368861667,205.420720049054
45,0.00167050730518042,NaN,1.10886782130204e-05,NaN,NaN
50,NaN,NaN,NaN,0.233521562246863,63.3970599737907
55,NaN,2.15455091159737e-07,NaN,NaN,NaN
65,NaN,NaN,1.4550682252585e-05,0.0259569518274591,16.2674119719247
70,0.00730280719332682,NaN,NaN,NaN,NaN
75,NaN,4.20237830730148e-06,NaN,NaN,NaN
85,NaN,NaN,2.80160404514808e-05,0.00183118248303393,1.05853942364546
95,0.0595770402812143,1.74243889307171e-05,NaN,NaN,NaN
100,0.0480633998365957,2.15750451101498e-05,0.000101553761920129,0.000867911492681567,0.162873981126857
150,0.143300432401687,3.61974451303214e-05,0.000380962273922932,NaN,0.0744205940312618
200,0.263314766034542,NaN,0.000362155842493545,NaN,NaN
250,0.245461383895591,NaN,NaN,NaN,NaN
300,0.312622804598959,NaN,NaN,NaN,NaN
350,0.276965919432528,NaN,NaN,NaN,NaN
400,0.259650080604048,NaN,NaN,NaN,NaN
