t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.17895545603426,0.000160705267785761,0.0013167983403043,8.51713192588625,0.00197264473626528,0.00163942575112975,1.72464188654077
9,NaN,0.0292579148155177,NaN,NaN,37.053531906308,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,0.838818376283299
10,0.120949617654815,NaN,0.112982002106847,NaN,NaN,0.00746880959455255,NaN
20,0.0030023733647466,0.000193282374458979,0.00198506201318296,19.2848534578632,21.2179992305346,0.629400082448067,135.930001147234
30,NaN,4.1714971576933e-06,NaN,NaN,2.22668784189801,NaN,510.485173940886
35,0.000390241596983288,NaN,9.79963203025807e-05,NaN,NaN,1.51458357290335,NaN
40,NaN,2.24374910806097e-06,NaN,NaN,0.142712480227607,NaN,775.554715433671
45,0.000721129365224681,NaN,9.93069202185686e-05,14.6186899327592,NaN,0.961690801324329,NaN
50,NaN,9.18207702131864e-06,NaN,NaN,0.0203416612045152,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,108.018311121742
60,0.00216091314063234,NaN,0.000120211318935078,NaN,NaN,0.106239429718492,NaN
65,NaN,0.000162550135719113,NaN,NaN,0.00066692021288805,NaN,NaN
70,NaN,NaN,NaN,13.8506713494738,NaN,NaN,40.9089084479279
75,NaN,NaN,0.00109307359790416,NaN,NaN,NaN,NaN
80,0.0116989027855462,0.00134955164843855,NaN,NaN,2.8236396166718e-05,0.0064747632237224,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,3.06122881558272
95,NaN,NaN,NaN,12.4392442791166,NaN,NaN,NaN
100,0.0298051114373127,0.00336175806076795,0.00882597084783221,17.9228627404831,0.513385998203964,0.00113734529669632,1.16568044790989
150,0.00786337567549989,NaN,NaN,14.1322033859965,0.000775078005471169,0.0171473892833429,22.6601876497375
200,NaN,NaN,NaN,16.9673151894927,NaN,NaN,NaN
250,NaN,NaN,NaN,16.0867830171433,NaN,NaN,NaN
300,NaN,NaN,NaN,15.5226294698641,NaN,NaN,NaN
350,NaN,NaN,NaN,21.1383346559963,NaN,NaN,NaN
450,NaN,NaN,NaN,16.8543917559953,NaN,NaN,NaN
