t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
0,0.335330671210424,0.000834268485391195,0.160147367811616
9,NaN,NaN,0.142309246878795
15,0.226076511531936,0.212825898841656,NaN
20,NaN,NaN,2.94031846156703
25,NaN,0.0486607119069008,NaN
30,0.0271579505064052,NaN,21.1213537118995
40,NaN,0.000210824561682218,73.8254992776626
50,0.00395468076135804,NaN,NaN
55,NaN,NaN,20.3602536753651
60,NaN,0.000500122829958294,NaN
70,0.014974524812901,NaN,5.95776748336086
80,NaN,0.00316801425432123,NaN
85,NaN,NaN,0.636202359211804
95,0.030594585085184,NaN,NaN
100,0.0215791735258818,0.0119885539630514,0.209838769755242
150,0.0358959369215591,0.0331967449130436,3.45566669242032
200,0.0562040760097073,NaN,NaN
