t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.245652665071898,8.20461152297744e-05,0.00119051622743505,0.00229286053085131,1.22647770715411
4,NaN,NaN,NaN,0.000884758189648276,0.988187302351285
8.5,NaN,NaN,NaN,0.00348583605376342,0.848775056035457
10,NaN,0.0178678703437091,0.141314774612549,NaN,NaN
15,NaN,NaN,NaN,0.237647375248378,31.6503644802304
20,NaN,NaN,NaN,0.767744431254017,174.868511007886
25,0.000234825340283721,1.14505449303075e-08,9.56892538762907e-05,1.03969178700437,387.403977980679
30,NaN,NaN,NaN,2.2900504423342,1372.10963676068
35,NaN,NaN,NaN,1.95522324722516,546.953842534981
40,NaN,6.64115551424237e-09,9.7681093966996e-05,NaN,NaN
45,0.000284408598310628,NaN,NaN,0.766979470459736,802.907838013385
50,NaN,NaN,NaN,0.884912090546832,NaN
55,NaN,4.69540600233946e-08,7.92382400572342e-05,NaN,228.150132205211
65,NaN,NaN,NaN,0.0907901926969624,NaN
70,0.0024098145412681,6.40797741112481e-07,0.00014840536797359,NaN,39.0408094980003
75,NaN,NaN,NaN,0.016595278658821,NaN
85,NaN,NaN,NaN,NaN,4.24402769919669
90,NaN,7.76461205708345e-06,7.84787455186133e-05,NaN,NaN
100,0.0765974343843976,1.4992839713041e-05,0.000183829677974842,NaN,NaN
150,0.212551210894944,5.03149644737972e-05,0.000573674094968914,NaN,NaN
200,0.119518895002653,NaN,NaN,NaN,NaN
250,0.287793880224399,NaN,NaN,NaN,NaN
300,0.181521851022984,NaN,NaN,NaN,NaN
350,0.315734628783382,NaN,NaN,NaN,NaN
450,0.292773621405205,NaN,NaN,NaN,NaN
