t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs
650,0.1,0.00674051619292632,0.00611009065270593
650,0.1,0.00377430497675459,0.00578838739605613
650,0.5,0.0140725386304989,0.0216841138169749
650,0.5,0.0364153456468037,0.0176514522123687
650,1,0.0250979876311196,0.0259542696851144
650,1,0.0367205035762001,0.0287232035374711
650,2.5,0.0734868991066754,0.0465718571133851
650,2.5,0.0807269616336468,0.0562515646937039
650,5,3.69074084595305,1.65902776634639
650,5,2.90190929998684,2.72962476785525
650,10,0.0508163901033753,0.0346173296868211
650,10,0.0556640503605803,0.0915352942930505
650,25,0.0594823728823248,0.0300401622916893
650,25,0.0812365826826165,0.057421224694725
650,50,0.103595932576778,0.0484642571683613
650,50,0.0445380057315863,0.0802963694509487
650,100,0.818217990233281,0.560144605227441
650,100,1.11044962612947,0.321643392425987
650,500,0.397932361156135,0.867250377896409
650,500,0.488906662764287,0.915984491088101
