t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs
72,0,2.48760839364246e-05,2.64109963874971e-05
72,0,2.68799373790066e-05,3.93287911392693e-05
72,0.5,0.000711716400073354,0.000733549068222797
72,0.5,0.00131109511376446,0.000915492707400379
72,1,0.00464529182662449,0.00382021831800651
72,1,0.00742200067492885,0.00437630884189306
72,2.5,0.0223710810926527,0.0308711515676195
72,2.5,0.0288308693706212,0.0270652057856905
72,5,0.0221875952382724,0.0519756985743999
72,5,0.0277187128296659,0.0232465981530167
72,10,0.0026976636314841,0.00853047291452801
72,10,0.00274976621765242,0.00937251125187217
72,25,0.000391167909486997,0.00495191233780795
72,25,0.000711899160161142,0.00421701313449666
72,50,0.000701719897769857,0.0086253603157842
72,50,0.000792559889919123,0.00428784595675551
72,100,0.000617426898010028,0.00465924839107122
72,100,0.000650585860274026,0.00718091456703554
72,500,0.000464892041969358,0.00362898499590964
72,500,0.000838487875411982,0.00383886881266999
