t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.30633271521299,0.000116737198422218,0.0011595238402645,0.000898263685501741,0.101928582936038
6.5,NaN,NaN,NaN,0.00149418545963448,NaN
10,NaN,0.0402460101550221,NaN,NaN,0.919728709013446
15,NaN,NaN,0.0860593063870317,0.108735362006266,NaN
20,0.00456700486348184,0.000270575122659002,NaN,0.61684451399395,NaN
25,NaN,NaN,0.000155812918534582,0.988137060861755,238.845918233099
35,NaN,2.47707214534942e-06,NaN,2.19089341075978,451.108342248011
40,0.000271391165987059,NaN,0.000103747499629092,NaN,NaN
45,NaN,3.32044159066332e-06,NaN,0.493537817157388,NaN
50,NaN,NaN,NaN,NaN,207.791566439348
55,NaN,NaN,6.51951947068151e-05,NaN,NaN
60,0.00183353523593286,6.04237551897261e-05,NaN,0.120017645339685,NaN
65,NaN,NaN,NaN,NaN,32.9348469132611
70,NaN,NaN,NaN,0.0412396609860689,NaN
75,NaN,0.000500724867938758,0.000654768251287483,NaN,NaN
80,NaN,NaN,NaN,NaN,6.41118414362902
85,0.0151557616326869,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00302711156665916,NaN
95,NaN,0.000107375578851411,0.00904161541539246,NaN,0.356351318109392
100,0.0322521610380517,1.96373748668875e-05,0.00406117699197626,NaN,0.383367272185063
150,0.0882204270457227,NaN,0.000535635940759072,NaN,0.500734707311188
200,0.140902257097513,NaN,NaN,NaN,0.110462704374747
250,0.234003462142301,NaN,NaN,NaN,0.111080546888951
300,0.231590261569404,NaN,NaN,NaN,0.116538592602254
350,0.249890394686778,NaN,NaN,NaN,NaN
