t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.393100230562936,0.000148965393400592,0.000883163486412155,11.5292459110788,0.000213002649914868,0.162716338229546
9,NaN,NaN,NaN,NaN,NaN,0.161337316885462
9.5,NaN,NaN,NaN,10.4786379426962,NaN,NaN
10,NaN,0.0017830333433215,NaN,NaN,0.00242275240330092,NaN
15,NaN,NaN,0.0302499945952969,NaN,NaN,NaN
20,NaN,NaN,NaN,22.9966352806393,NaN,28.4688302287427
25,0.00382558216372832,1.16568954578538e-06,0.000136234811240069,NaN,0.284039159904461,NaN
30,NaN,NaN,NaN,18.7062796097252,NaN,126.36728295135
35,NaN,4.81319576074149e-08,NaN,NaN,NaN,NaN
40,NaN,NaN,1.02766953077824e-05,12.9645437675788,0.371622917463059,120.249226355736
45,0.0012083658166836,NaN,NaN,NaN,NaN,NaN
50,NaN,3.09824754450572e-07,NaN,NaN,NaN,57.6476580800514
55,NaN,NaN,1.0865955180842e-05,19.0225630735608,0.0416485340811966,NaN
65,NaN,1.37731359490506e-06,NaN,NaN,NaN,18.8930098251354
70,0.0119225474117814,NaN,NaN,15.4256951947071,NaN,NaN
75,NaN,NaN,2.16194792093703e-05,NaN,0.00495478161376518,NaN
80,NaN,9.71612107614061e-06,NaN,NaN,NaN,1.8519042423723
90,NaN,NaN,NaN,19.8671653035234,NaN,NaN
95,NaN,NaN,NaN,NaN,0.000212963713192459,NaN
100,0.0828266770811494,2.32109722189547e-05,9.06054964353354e-05,14.1448749832225,0.000121292414028222,0.254657462273346
150,0.121630529866693,6.35514483532558e-05,0.000461180062254113,14.5276589155009,7.234125128864e-05,NaN
200,0.160668816218107,NaN,NaN,NaN,NaN,NaN
250,0.206573744892998,NaN,NaN,NaN,NaN,NaN
300,0.215225475103827,NaN,NaN,NaN,NaN,NaN
350,0.340137404761968,NaN,NaN,NaN,NaN,NaN
400,0.278714211132514,NaN,NaN,NaN,NaN,NaN
