t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.261101403354078,0.000187048351748599,0.00175198576668177,0.000118898260262163,0.0306922844628836
6,NaN,NaN,NaN,NaN,0.0746070094823388
6.5,NaN,NaN,NaN,0.000110446886444775,NaN
10,NaN,NaN,NaN,NaN,0.0534063880886185
15,NaN,NaN,NaN,9.15395117667592e-05,NaN
20,NaN,0.0132569475815241,0.194173427342382,9.44794332867102e-05,0.0359767749835275
25,0.0885657304611406,NaN,NaN,NaN,0.0174433716425864
30,NaN,NaN,NaN,3.52141888753997e-05,0.0254053746199664
35,NaN,NaN,NaN,2.11793992447224e-05,NaN
40,NaN,0.0112572573353717,NaN,NaN,0.00622250611008412
45,0.122128995393575,NaN,0.164489707386784,NaN,NaN
50,NaN,NaN,NaN,2.12690359018275e-06,0.00140115501632043
60,NaN,0.0176521629238968,NaN,4.2060425921577e-07,0.000442846815446045
65,NaN,NaN,0.0961410334679053,NaN,NaN
70,0.146203498133174,NaN,NaN,NaN,0.000338973731522379
75,NaN,NaN,NaN,1.24546883623381e-07,NaN
80,NaN,0.0122092020712475,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.000123387389598046
90,NaN,NaN,0.108440991595499,NaN,NaN
95,NaN,NaN,NaN,1.16036669063351e-07,NaN
100,0.0642785774443378,0.00791070057605075,0.129520496712966,NaN,9.91093999957099e-05
150,0.0775422073771683,0.0165839029196222,0.0669726014921207,NaN,NaN
200,0.0603934356598366,0.00315460814899156,0.067936187929789,NaN,NaN
250,0.0230967237620218,0.00411812066589329,0.0296487289892801,NaN,NaN
300,0.0171837222872641,0.0050020987316089,0.03441330516793,NaN,NaN
350,0.025593994159822,NaN,0.0243245677168515,NaN,NaN
450,0.00953355432593644,NaN,0.0124211132964576,NaN,NaN
