t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs
99,0,0.00151327177377346,0.00312253168174168
99,0,0.00237510696443255,0.00262586737328733
99,0,0.00251637202762843,0.00361858562116524
99,0,0.00240827924005887,0.00345700669984661
99,0,0.00257055970538096,0.00406885433646275
99,0,0.00241426908691206,0.00209644552545798
99,0,0.00260360711407376,0.00227570901229159
99,0,0.00288935327812426,0.00284978657866004
99,0.0005,0.00212153468633488,0.00443461037291588
99,0.0005,0.00335985843092371,0.00283329140279331
99,0.0005,0.00451886208339439,0.00229364868279474
99,0.0005,0.00221966846927294,0.00196596261459599
99,0.0005,0.0024338562318009,0.00427259430684514
99,0.0005,0.00184452818792132,0.00252195724243686
99,0.0005,0.00146961628465421,0.00299299512550832
99,0.0005,0.00386283735009242,0.00228427854232736
99,0.005,0.00326340504592631,0.00248417938790825
99,0.005,0.00287996183640235,0.00168807713676017
99,0.05,0.00532759865821637,0.00304237607932666
99,0.05,0.00295847669243119,0.00260571561681124
99,0.1,0.00655530745017907,0.00753345708643531
99,0.1,0.00456923460970874,0.00902648903144881
99,0.1,0.00573448008065278,0.00717754240152123
99,0.1,0.00478229303389992,0.00526102486116354
99,0.1,0.00988590645241184,0.00702387203670317
99,0.1,0.00387316029842842,0.00525951346411693
99,0.1,0.00701778104405578,0.0070609808221255
99,0.1,0.00662346362525704,0.00613780436578779
99,0.5,0.0234974139786031,0.0177937630453179
99,0.5,0.0128258114954674,0.0210700116130747
99,0.5,0.0231290495398424,0.0206450531944414
99,0.5,0.0278290766617078,0.0224147801795502
99,0.5,0.0152117047532756,0.0280996791386862
99,0.5,0.017043854218613,0.0175449617201501
99,0.5,0.012824256342891,0.0205500919954111
99,0.5,0.02253191487898,0.0231043227406783
99,1,0.012556010607925,0.0118259689649494
99,1,0.0168932687467549,0.0124576540803119
99,1,0.0141408121873884,0.0151393159135057
99,1,0.0119482268569969,0.0144024397870086
99,1,0.0209204415987925,0.0180867316443025
99,1,0.0164414326134177,0.00933731903898503
99,2.5,0.0179625302541777,0.00824155556628105
99,2.5,0.0121065668211459,0.00680077684599969
99,2.5,0.0166549246367157,0.00823162415330924
99,2.5,0.0138536842852786,0.00944932207020692
99,2.5,0.0100891221957128,0.00768392792522553
99,2.5,0.0161696999982724,0.00453713394113906
99,5,0.255377377266704,0.168246198299975
99,5,0.282259629497615,0.234628167791876
99,5,0.569714019777826,0.18015408119552
99,5,0.55646674983877,0.183514540569185
99,5,0.387140168982532,0.14885217828878
99,5,0.352619491506645,0.246082309174692
99,5,0.444045185510408,0.12546088577026
99,5,0.405007296140437,0.16306182636676
99,10,0.00580539782035672,0.00370668765002714
99,10,0.00419939945472891,0.00191327086973193
99,10,0.00436362193952327,0.00322539250780492
99,10,0.00370900930157787,0.00283723374076056
99,10,0.0032641379442891,0.00223776203542474
99,10,0.00425266576299533,0.0035941983983585
99,25,0.743181432951811,0.271995979649714
99,25,1.0363050433046,0.274383128200028
99,25,0.0567865250024648,0.0211677100339653
99,25,0.0489945423837892,0.0275705148817121
99,25,0.0447229320945126,0.0328196519903391
99,25,0.0574712544880081,0.0318563782907899
99,25,0.0632001197417335,0.0197871718293157
99,25,0.0561359584572304,0.027777073273344
99,50,0.110909133911173,0.0224174799520487
99,50,0.0522010013925943,0.0263375337352265
99,50,0.00407208936452737,0.0033595037588048
99,50,0.00538586221400399,0.00217868656692405
99,50,0.00651268070789837,0.00314952126010855
99,50,0.00496327509506919,0.00391683140961212
99,100,0.00588196697769205,0.00285716323383544
99,100,0.00561904485233291,0.00323807709369338
99,100,0.00755698106658665,0.0037242023406757
99,100,0.00430134993140913,0.00370715734771907
99,100,0.0868643482869387,0.0772092993607373
99,100,0.163941874178714,0.0942808477879286
99,100,0.111703104073059,0.0648485046192132
99,100,0.135840953828919,0.0253108161101804
99,200,0.151950578444427,0.0643329776906981
99,200,0.134398156129729,0.0549151680443653
99,500,2.48844376337075,0.720969173502232
99,500,1.07751265776251,0.512016630886496
99,500,2.12450250914457,0.496904396872253
99,500,1.33571115406709,0.655306577380884
99,500,1.79437925243059,0.656961794573673
99,500,2.67027221701736,0.504281898488847
99,500,1.50448845478125,0.690969524922575
99,500,1.69264519122485,0.628911234206555
