t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.569893131043325,8.55216155921494e-05,0.00109782896751537,0.000902755238118741,0.887537409505076
3.5,NaN,NaN,0.041460207092627,NaN,0.802965736035751
4.5,NaN,NaN,NaN,0.0013650387404449,NaN
5,NaN,0.05378149517588,NaN,NaN,NaN
5.5,0.211393522862011,NaN,NaN,NaN,NaN
7,NaN,NaN,0.0473661800357235,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.943779478478336
9,NaN,NaN,NaN,0.00396316252269492,NaN
10,0.241203722557641,0.0296222945988688,0.08967606187673,NaN,1.32176299443478
15,0.0981008806352947,0.0118681288429882,0.0850228252119311,0.158308780033545,14.1851091155833
20,NaN,0.000302373386783063,0.00126670512729586,0.786610427222038,112.262011349663
25,0.000631149620172891,9.28753247352367e-06,0.000106230511009222,1.0322674575278,488.164887111061
30,0.000268213012611632,NaN,0.000128149285506157,1.64173637384578,482.208870218538
35,NaN,2.1203821068425e-18,NaN,1.13563044122689,444.030904897794
40,NaN,NaN,0.000144322560156124,NaN,NaN
45,NaN,NaN,NaN,0.760517478061679,400.565934655278
50,8.58743712179883e-21,6.25539224643874e-21,7.94121520095786e-05,NaN,NaN
55,NaN,NaN,NaN,0.189841307585024,111.921650581319
60,NaN,NaN,0.000124607380073704,NaN,NaN
65,NaN,NaN,NaN,0.0667905804906158,47.1291500922615
75,NaN,NaN,NaN,NaN,16.1567909636902
80,NaN,NaN,NaN,0.00515970244062531,NaN
90,NaN,NaN,NaN,NaN,NaN
