t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs
77,0.1,7.76610148864799e-06,1.76067524210843e-05
77,0.1,1.03231842600856e-05,9.13484194933831e-06
77,0.5,4.34840869686887e-05,0.000153530179477858
77,0.5,7.35465003502814e-05,9.49111437356343e-05
77,1,0.000313768448400034,0.000570534201101856
77,1,0.000449855970909832,0.000627384601865484
77,2.5,0.00279691081948094,0.00247632066337586
77,2.5,0.00506096436480923,0.00378198586471027
77,5,0.0141576224212268,0.0165951294629914
77,5,0.0168719149795419,0.0150170477097274
77,10,0.0254711320153721,0.0409551723826582
77,10,0.0295991795662172,0.0396180169008618
77,25,0.0019549952501424,0.00597522525047835
77,25,0.0022427709138679,0.00918264470283708
77,50,0.000630409658411174,0.00351142766901805
77,50,0.000941128631009768,0.00306998385003273
77,100,0.000426899619032573,0.00372728904178929
77,100,0.000936731379129543,0.00364697418548039
77,500,0.000365759989382634,0.00355614865568962
77,500,0.000482462597441636,0.00361659960275842
