t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.275586343208947,0.000116448829893246,0.00122664799221553,0.00121974304232368,0.124705729039285
10,NaN,NaN,NaN,0.00141543283747932,0.235563245155216
15,NaN,0.0152724674025126,0.0509072278743088,NaN,NaN
20,0.115782769066183,NaN,NaN,NaN,22.010752973564
25,NaN,NaN,0.000589957559850713,0.340437789115876,NaN
30,NaN,6.89229459824258e-06,NaN,NaN,NaN
35,NaN,NaN,NaN,0.431052659055592,221.887102232776
40,0.000328427364628817,NaN,9.11181789620472e-06,NaN,NaN
45,NaN,5.24877744781711e-08,NaN,NaN,168.425858241661
50,NaN,NaN,NaN,0.171273980112402,NaN
55,NaN,NaN,1.20619234199302e-05,NaN,NaN
60,0.00189581003620293,3.16709139755026e-07,NaN,NaN,50.6006162438081
65,NaN,NaN,NaN,0.0757475533594583,NaN
75,NaN,NaN,1.30957896046102e-05,NaN,NaN
80,0.0105354624042416,4.08424357193457e-06,NaN,0.00464300031728571,4.10643841442377
100,0.0813171437996495,2.14062113874952e-05,9.65344566713673e-05,0.000771353587528738,0.29228922243679
150,0.102809031673975,5.139513686874e-05,0.000348713877367103,0.000694323211291509,0.113999451321619
200,0.139442979069811,NaN,NaN,NaN,NaN
250,0.38800348677348,NaN,NaN,NaN,NaN
300,0.314349719373219,NaN,NaN,NaN,NaN
350,0.402470247101774,NaN,NaN,NaN,NaN
