t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.338619176667688,0.000114302295798893,0.00117619373058975,13.8328381666184,0.00214104151507121,0.000253831745110069,0.136377243345006
9,NaN,NaN,NaN,NaN,NaN,NaN,0.112885605744561
10,NaN,0.0109774161219866,0.054216645523833,10.5904933538866,10.5678066842043,0.000418796045173935,NaN
15,0.264646075646259,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,11.093878709572,NaN,NaN,8.81819320580812
25,NaN,0.000580581364236256,0.00400360355541274,NaN,4.93089495176014,0.244266261249612,NaN
30,0.00194976312239237,NaN,NaN,18.461999325299,NaN,NaN,132.00354720413
35,NaN,NaN,NaN,NaN,0.280445768036339,0.390784912257151,NaN
40,NaN,4.69744321793209e-06,1.00681517901832e-05,19.0109470612549,NaN,NaN,125.713047157941
45,0.000916495856791688,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,0.0160058919193822,0.252818171153543,NaN
55,NaN,3.04668551538701e-05,2.44638337617922e-05,23.5025168154109,NaN,NaN,46.7405584573694
60,0.00245479049610546,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.000311463073123541,NaN,NaN
70,NaN,0.000132157597631674,0.00030827957252908,19.6406686751912,NaN,0.0244073228262837,10.1360708994064
85,0.0279917203324688,NaN,NaN,12.2695056593127,0.000561729063455039,NaN,1.53540739067777
90,NaN,0.00062520262982692,NaN,NaN,NaN,0.000498908560466052,NaN
95,NaN,NaN,0.00596585980719721,NaN,NaN,NaN,NaN
100,0.0374670065119135,0.00160210229545516,0.00602127231482137,12.2808029760203,0.114870938671527,0.00020534924304253,0.206600040214429
150,0.0187096214567753,0.000543569305899829,0.00266826622317722,12.1796019478541,0.00412640782876175,0.0123184683789888,7.60514497521731
