t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.384755350808015,0.000133126365414293,0.000770002214376772,0.00100707888280842,0.177664822265553
9,NaN,NaN,NaN,NaN,0.122476020452916
10,NaN,NaN,0.093301645765962,0.00283251742459672,NaN
15,NaN,0.0153549563356438,NaN,NaN,NaN
20,0.0568579938774428,NaN,NaN,0.292331795448427,47.1782572763064
25,NaN,NaN,6.11365480204063e-05,NaN,NaN
30,NaN,NaN,NaN,0.636557323266959,236.746253429011
35,NaN,4.61592733531247e-06,6.33082535221164e-06,NaN,NaN
40,NaN,NaN,NaN,NaN,199.292872422658
45,0.000590423917078133,NaN,NaN,0.588246999303472,NaN
50,NaN,1.23211874239827e-05,1.83427963910808e-05,NaN,NaN
55,NaN,NaN,NaN,0.329161235491776,113.172311321472
65,0.00328609135315245,NaN,0.000130283894476822,NaN,NaN
70,NaN,0.000263309489665186,NaN,0.0352766089011977,15.6610002037757
85,NaN,NaN,0.00391318627927527,NaN,1.99486582978574
90,0.0174599105048026,NaN,NaN,0.00218535110779631,NaN
95,NaN,0.00181356293371549,NaN,NaN,NaN
100,0.0334171638355497,NaN,0.0102601328514651,0.000856616223389863,0.361850202101677
150,0.00819869152452873,3.25184508404484e-06,3.53289299566416e-05,0.0162855247160421,9.98012433642407
200,0.109849799871211,NaN,NaN,NaN,NaN
250,0.121587734514314,NaN,NaN,NaN,NaN
300,0.234804106326299,NaN,NaN,NaN,NaN
350,0.167309608012945,NaN,NaN,NaN,NaN
450,0.352804083981358,NaN,NaN,NaN,NaN
