t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs
770,0.1,0.00320105405679536,0.00396718865055867
770,0.1,0.00533918277410029,0.00412269649619781
770,0.5,0.0126551556087039,0.0182038932454461
770,0.5,0.0218117315703518,0.0137628414124595
770,1,0.0321210678764935,0.0198899291026827
770,1,0.0506999936033383,0.0208121154150655
770,2.5,0.0702772530968009,0.114223058283717
770,2.5,0.0757566028978859,0.0906110657685806
770,5,0.00132053322371886,0.00852276450455585
770,5,0.000957585765828455,0.00837067679664146
770,10,0.040752942634086,0.0525507736663787
770,10,0.0540855562992066,0.056728583112535
770,25,0.0793961172698448,0.119103623114764
770,25,0.0514426269499723,0.146195190651935
770,50,0.0638807518527562,0.078363547653388
770,50,0.0687399451596237,0.0923253359864366
770,100,0.00821843988692031,0.0324265449452993
770,100,0.0108578913002901,0.0453337085714278
770,500,0.932404868021317,0.304953198974543
770,500,0.723933669060308,0.327439948363592
