t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.306258957077059,0.000146799664683297,0.000823055367919465,0.000904761032296851,1.53142248340803
4,NaN,NaN,NaN,NaN,1.17795995512908
4.5,NaN,NaN,NaN,0.000768285739870091,NaN
8,NaN,NaN,NaN,NaN,1.51650040999348
9,NaN,NaN,NaN,0.00412891501490859,NaN
10,NaN,0.0302528848348858,0.10605788271211,NaN,1.34528252918574
15,NaN,NaN,NaN,0.169363363225428,19.4877547254582
20,NaN,0.000213910638460395,NaN,0.748185286407921,161.897191561293
25,0.000373162720203815,NaN,7.97307231045822e-05,0.813836621123507,251.193275270039
30,NaN,NaN,NaN,1.28908747653861,679.217031801081
35,NaN,6.46379198138884e-09,NaN,NaN,NaN
40,NaN,NaN,9.93401126957887e-05,0.680619041478458,562.742204669414
45,NaN,1.63495477366425e-08,NaN,NaN,170.176659185347
50,0.000448274762128066,NaN,NaN,0.418899133062634,NaN
55,NaN,NaN,9.07605041541804e-05,NaN,154.599321160395
60,NaN,1.97514320963142e-07,NaN,0.0830010436737243,NaN
65,NaN,NaN,NaN,NaN,43.6996858693329
70,NaN,NaN,0.000101160812899235,0.0268425529479808,NaN
75,0.0107030580559854,1.80525128766845e-06,NaN,NaN,18.853805774072
90,NaN,NaN,0.000108024972656383,NaN,2.26642982232249
95,NaN,1.5322061456454e-05,NaN,NaN,NaN
100,0.056652597403229,1.50241970182189e-05,0.00018622532031357,NaN,NaN
150,0.124169557444514,NaN,0.000265038025037288,NaN,NaN
200,0.178271313212301,NaN,NaN,NaN,NaN
250,0.201726596908376,NaN,NaN,NaN,NaN
300,0.199253319135123,NaN,NaN,NaN,NaN
350,0.244562581437002,NaN,NaN,NaN,NaN
450,0.289013003704798,NaN,NaN,NaN,NaN
