t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.327664745934471,8.87383639014126e-05,0.00171749324699193,14.9171600036928,0.00294116921936888,0.0018780215105741,0.00129963688711338,0.000941838934436865,0.118498816554877
7.5,NaN,NaN,NaN,NaN,NaN,NaN,0.755487805253248,NaN,NaN
8.5,NaN,NaN,NaN,NaN,16.9857703370842,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.218977477933019
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00182204256859824,NaN
10,0.326267191300548,0.0229699258915847,NaN,7.70311751432806,NaN,8.80235548724768,NaN,NaN,NaN
15,NaN,NaN,0.0863025162274969,NaN,32.9101978896413,NaN,22.7047510507099,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,37.6732985864123,NaN,0.300296579737997,68.2108685140376
25,0.00138835314635598,1.57970684260488e-05,0.000114510813337568,17.2447722683208,5.8372029685266,NaN,27.0504970633557,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,6.59271888704623,NaN,0.746919511948897,422.574759673513
35,0.000481851133051547,NaN,NaN,12.0861443868885,0.529612367147646,NaN,8.66999421531288,NaN,NaN
40,NaN,3.78912445695984e-06,0.00011009574219572,NaN,NaN,NaN,NaN,0.778711653472947,262.866491312854
45,NaN,NaN,NaN,NaN,NaN,0.278925717748135,1.62295889826559,NaN,NaN
50,0.000584826223372044,NaN,NaN,14.0286208938387,0.0174562337065873,NaN,NaN,NaN,109.868928762351
55,NaN,2.40459828387075e-05,0.000135476186247067,NaN,NaN,NaN,NaN,0.162712280384428,NaN
60,NaN,NaN,NaN,NaN,0.00127855881768983,0.0196992381275274,0.0692418092133753,NaN,NaN
65,0.00440086155385261,NaN,NaN,20.4051443581093,NaN,NaN,NaN,NaN,28.5490712053898
70,NaN,0.000267361956237376,NaN,NaN,NaN,NaN,NaN,0.0245231295891856,NaN
75,NaN,NaN,0.000950019964891211,NaN,NaN,0.000727485778264777,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,3.04024605396396e-05,NaN,0.00128732521079096,NaN,NaN
85,0.0175902084562819,NaN,NaN,22.0620820247203,NaN,NaN,NaN,0.00278504234283565,3.06543683652833
90,NaN,0.00106859869947817,NaN,NaN,NaN,0.00295652170406214,NaN,NaN,NaN
95,NaN,NaN,0.00727916719258287,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0455865082645458,0.00255223318801427,0.0144833062415014,16.5080557611869,0.222600449713676,0.208130068851291,0.0480076037791311,0.000992596308995916,0.262874324103081
150,0.00694550088116739,0.000418142192006935,0.000894529958597704,14.791384131503,NaN,0.0111526441826422,NaN,0.0151020744364918,4.33895959768462
200,NaN,NaN,0.0128789337506198,NaN,NaN,NaN,NaN,NaN,NaN
