t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.240423786471393,0.000128242937198003,0.00152863493878849,0.00168982074432261,1.06533532469412
4,NaN,NaN,NaN,NaN,1.36819302922376
5.5,NaN,NaN,NaN,0.00105580804530943,NaN
8,NaN,NaN,NaN,NaN,1.18214505937353
10,NaN,NaN,NaN,0.00702887781067675,2.55957982313362
15,NaN,0.0124354677867138,0.0976683748595351,0.120988198502566,27.1610795656395
20,0.00233382435323196,NaN,NaN,0.615555228107735,136.650992409085
25,NaN,NaN,8.8749348300141e-05,NaN,346.988975703242
30,NaN,1.03554641889144e-08,NaN,2.18018786963072,287.126980972648
35,NaN,NaN,NaN,0.870073495305545,NaN
40,NaN,NaN,0.000131999603859817,NaN,732.714195178806
45,0.000618828381106096,3.40989751244868e-08,NaN,0.629142210751574,291.534799040171
55,NaN,NaN,6.71538431027073e-05,0.263902248624206,157.73911416064
60,NaN,2.03416338471766e-07,NaN,NaN,NaN
65,0.00451108939150604,NaN,NaN,0.0688642305409203,31.5966034489309
75,NaN,NaN,7.32128664307384e-05,NaN,NaN
80,NaN,3.06190923158054e-06,NaN,0.00762427538745571,6.28331679061828
90,0.0179469285938869,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00122968545894062,NaN
100,0.0277828443441661,2.46778473650368e-05,0.000234816031437523,NaN,NaN
150,0.109810288423802,3.82962239275445e-05,0.000368078565739198,NaN,NaN
200,0.255669634150692,NaN,NaN,NaN,NaN
250,0.197964777476979,NaN,NaN,NaN,NaN
300,0.37099495653911,NaN,NaN,NaN,NaN
350,0.296073635147734,NaN,NaN,NaN,NaN
450,0.441600029448736,NaN,NaN,NaN,NaN
