t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.237162047066722,0.000131533986588099,0.00121096387441565,12.0091136652738,0.00330860780584268,0.000232710100318006,0.151555505742781
8,NaN,NaN,NaN,NaN,NaN,NaN,0.144079894398505
8.5,NaN,NaN,NaN,NaN,1.7105866514786,NaN,NaN
9.5,NaN,NaN,NaN,20.2407930667985,NaN,NaN,NaN
10,0.233668082931026,0.00856559563266817,0.0140952623226898,NaN,NaN,0.000219630145498682,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,0.38627348145497
20,NaN,NaN,NaN,13.9019273554943,7.45678763291686,NaN,NaN
25,0.124073066259048,0.00281534987368332,0.0166160976226932,NaN,3.59406522028158,0.0699997529762213,18.911939107297
30,NaN,NaN,NaN,12.6293656962401,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,37.2607694911585
40,0.00216504985196315,1.97956239774247e-05,2.66184630063147e-05,17.1478411978021,0.149379769157184,0.172902451247935,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,63.0681593831023
50,NaN,NaN,NaN,NaN,0.0101607518576283,NaN,NaN
55,0.00333837901812126,2.22853787331317e-05,3.82300491011374e-05,9.95522402858488,NaN,0.0561820684418473,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,38.6941142708591
65,NaN,NaN,NaN,NaN,0.000206358475247414,NaN,NaN
70,NaN,0.000175690797870958,NaN,18.8486760937221,NaN,0.0108654002779562,NaN
75,0.0221234306047093,NaN,0.000461803938006643,NaN,NaN,NaN,4.14753004718746
80,NaN,NaN,NaN,NaN,4.60485030292686e-05,NaN,NaN
90,NaN,0.000650836560619696,NaN,11.0052471054176,NaN,NaN,0.560028161629003
95,0.0537580738811094,NaN,NaN,NaN,NaN,0.000256951272075946,NaN
100,0.0330244636715758,0.000802175242592189,0.00520627494039598,16.2173700588134,0.0285473075908862,0.000271041959621283,0.235624300371426
150,0.0385405201151803,0.000930799609358762,0.00497623960208694,NaN,NaN,0.0122983704377525,NaN
