t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3_Obs
0,0.18303600327537,0.00149997498146338,0.137856890915648
9,NaN,NaN,0.21156584787254
10,0.210408975876509,0.0934655329396031,NaN
20,NaN,NaN,52.0093214839657
25,0.000712850223162484,0.000132355037298369,NaN
30,NaN,NaN,196.297897738531
35,0.000400870189163832,0.000137258874848623,NaN
40,NaN,NaN,317.01921988971
50,0.000658139310176401,0.000134052527564678,NaN
55,NaN,NaN,98.5393042458856
70,0.00695023250657814,0.00022059424193836,NaN
75,NaN,NaN,12.9907575037003
90,NaN,0.00767151531574525,NaN
95,0.0235969328859616,NaN,0.467892449400632
100,0.0313122596507655,0.00640727348845031,0.309874634182717
150,NaN,0.000789483501019504,NaN
