t,Rec2_Obs,IR2in_Obs,Uptake1_Obs
0,1448.01472138682,0.920619549226749,0
8.5,NaN,248.107106328049,NaN
9,1128.9612797247,NaN,NaN
10,NaN,NaN,6.46965551716946
15,NaN,292.848091794553,NaN
20,997.643964710223,NaN,9.71945399135094
25,1059.46535519731,291.088825288334,NaN
35,1302.18835783993,321.332147736756,14.3165673017788
45,NaN,317.529945353409,16.0928380611427
50,1038.3372403473,NaN,NaN
55,NaN,298.473052122017,NaN
60,1419.46097927769,NaN,14.6591773305064
65,NaN,341.697529024044,NaN
75,1209.31964899257,NaN,20.7213477523164
80,NaN,296.455495932372,NaN
90,986.018254515947,NaN,NaN
95,NaN,236.170746085589,22.780594845815
100,1438.899155459,278.199303229161,14.7676734646755
150,1236.39133064011,225.204713679511,21.6275003868437
200,1447.60524490585,158.481932992573,19.9972875289846
