t,Rec2_Obs,IR2in_Obs,Uptake1_Obs
0,1642.44834304162,9.96780111104893,0
7.5,299.019825595445,771.700110091473,NaN
9,NaN,NaN,41.3771718258343
15,285.846490402536,1421.23170529923,NaN
20,212.698132964398,NaN,38.8021276631004
25,NaN,999.148722284055,NaN
30,279.422070505974,1168.89237142378,62.3892375672256
40,214.578601823914,900.579790368202,56.1260684052244
50,191.741023164889,1101.10213541292,48.9678557653623
60,283.24343407313,1031.70616493293,NaN
65,NaN,NaN,56.1553219212048
70,227.232049407918,NaN,NaN
75,NaN,1059.74907176356,NaN
80,NaN,NaN,51.0165044798793
85,233.824711705395,NaN,NaN
90,NaN,995.349514548788,NaN
100,216.267816444396,1154.7912771483,70.8893525564826
150,292.456317295918,999.094312415827,84.3120718691009
200,287.190056324744,1295.77263923302,142.867268917399
